exhibitionNumber,title,type,venueOrganization,venuePlace,venueStorageLocation,venueOpeningDAte,venueClosingDate,venueAttendance,venueUrl,planningNote,curatorialNote,generalNote,boilerplateText,workingGroupTitle,workingGroupNote,exhibitionPersonOrganization,exhibitionPersonPerson,exhibitionPersonRole,organizerOrganization,organizerPerson,sponsorOrganization,sponsorPerson,galleryRotationName,galleryRotationStartDate,galleryRotationEndDate,galleryRotationNote,exhibitionReference,exhibitionReferenceType,exhibitionReferenceNote,exhibitionSectionName,exhibitionSectionLocation,exhibitionSectionObjects,exhibitionSectionNote,exhibitionStatus,exhibitionStatusDate,exhibitionStatusNote,exhibitionObjectNumber,exhibitionObjectName,exhibitionObjectConsCheckDate,exhibitionObjectConsTreatment,exhibitionObjectMount,exhibitionObjectSection,exhibitionObjectCase,exhibitionObjectSeqNum,exhibitionObjectRotation,exhibitionObjectNote
EXH2000.010,Exhibition title text.,Permanent,Oakland Museum of California,Oceania,A:R1:U1:Shelf 6,1/15/2000,,123,,Planning note text.,Curatorial note text.,General note text.,Boilerplate text text.,,,Metropolitan Museum of Art,,Web developer,,,Walker Art Center,,,3/10/2000,4/10/2000,Gallery rotation note text.,Book 10,Review,Exhibition reference note text.,Exhibition section name text.,Exhibition section location text.,Exhibition section object text.,Exhibition section remarks text.,,5/10/2000,Exhibition status remarks text.,Object number text.,Object name text.,6/10/2000,needed,needed,Section text.,Case text.,Sequence number text.,Rotation text.,Note text.
EXH2000.011,Exhibition title text.,Temporary,,South America,,1/16/2000,2/16/2000,456,https://lyrasis.org,Planning note text.,Curatorial note text.,General note text.,,Working group title,Working group note text.,,Oylaug Bjorklund,Curator,,Joseph Moore,Institute of Museum and Library Services,,Gallery rotation name text.,3/11/2000,,Gallery rotation note text.,Book 11,News article,Exhibition reference note text.,Exhibition section name text.,,Exhibition section object text.,,Labels written,5/11/2000,Exhibition status remarks text.,,Object name text.,6/11/2000,needed,needed,Section text.,,Sequence number text.,,Note text.
EXH2000.012,Exhibition title text.,Traveling,Walker Art Center,Ellsworth Land,A:R2:U1:Shelf 6,1/17/2000,2/17/2000,789,,Planning note text.,,General note text.,Boilerplate text text.,Working group title,Working group note text.,,Alessia Trelstad,Preparator,,Thomas Taylor,,,Gallery rotation name text.,,4/12/2000,Gallery rotation note text.,,Press release,Exhibition reference note text.,,Exhibition section location text.,Exhibition section object text.,Exhibition section remarks text.,Preliminary object list created,,Exhibition status remarks text.,Object number text.,Object name text.,6/12/2000,needed,needed,Section text.,Case text.,Sequence number text.,Rotation text.,Note text.
EXH2000.013,Exhibition title text.,Permanent,Litchfield Historical Society,Coats Land,A:R1:U1:Shelf 7,,,123,https://lyrasis.org,,Curatorial note text.,General note text.,Boilerplate text text.,,,,,Publicist,Canadian Heritage Information Network,,Phoebe A. Hearst Museum of Anthropology,,Gallery rotation name text.,3/13/2000,4/13/2000,Gallery rotation note text.,Book 13,Review,Exhibition reference note text.,Exhibition section name text.,Exhibition section location text.,,Exhibition section remarks text.,Final object list determined,5/13/2000,Exhibition status remarks text.,Object number text.,Object name text.,6/13/2000,needed,,Section text.,Case text.,,Rotation text.,Note text.
EXH2000.014,Exhibition title text.,Temporary,Miami-Dade County Department of Cultural Affairs,Oceania,A:R1:U1:Shelf 8,1/19/2000,2/19/2000,,https://collectionspace.org,Planning note text.,Curatorial note text.,,Boilerplate text text.,Working group title,Working group note text.,,Ingbertine Nicolaysen,,,,,Reagan Impson,,3/14/2000,,Gallery rotation note text.,Book 14,News article,,Exhibition section name text.,Exhibition section location text.,Exhibition section object text.,Exhibition section remarks text.,,5/14/2000,,Object number text.,Object name text.,6/14/2000,needed,needed,Section text.,Case text.,Sequence number text.,Rotation text.,Note text.
EXH2000.015,Exhibition title text.,Traveling,Oakland Museum of California,South America,A:R2:U1:Shelf 7,1/20/2000,2/20/2000,789,https://lyrasis.org,Planning note text.,Curatorial note text.,General note text.,,Working group title,Working group note text.,,Ailiyah Jespersen,Curator,Watermill Center,,,Evan Saint,Gallery rotation name text.,3/15/2000,4/15/2000,Gallery rotation note text.,Book 15,Press release,Exhibition reference note text.,Exhibition section name text.,Exhibition section location text.,Exhibition section object text.,Exhibition section remarks text.,Preliminary object list created,5/15/2000,Exhibition status remarks text.,Object number text.,,,needed,needed,Section text.,,Sequence number text.,,Note text.
EXH2000.016,Exhibition title text.,Permanent,"University of California, Berkeley",Ellsworth Land,A:R2:U1:Shelf 8,1/21/2000,,123,https://collectionspace.org,Planning note text.,,General note text.,Boilerplate text text.,Working group title,Working group note text.,,Oylaug Bjorklund,Preparator,Tridentino Museo di Scienze Naturali,,,Israel Hayre,Gallery rotation name text.,3/16/2000,4/16/2000,Gallery rotation note text.,Book 16,Review,Exhibition reference note text.,Exhibition section name text.,,Exhibition section object text.,,Final object list determined,5/16/2000,Exhibition status remarks text.,Object number text.,Object name text.,6/16/2000,needed,needed,Section text.,Case text.,Sequence number text.,Rotation text.,
EXH2000.017,Exhibition title text.,Temporary,,Coats Land,A:R1:U1:Shelf 9,1/22/2000,2/22/2000,,https://lyrasis.org,Planning note text.,Curatorial note text.,General note text.,Boilerplate text text.,Working group title,Working group note text.,,Alessia Trelstad,Publicist,,,,Angelo Tolton,Gallery rotation name text.,,4/17/2000,,Book 17,News article,Exhibition reference note text.,Exhibition section name text.,Exhibition section location text.,Exhibition section object text.,Exhibition section remarks text.,Labels written,5/17/2000,Exhibition status remarks text.,Object number text.,Object name text.,6/17/2000,needed,,,Case text.,,Rotation text.,Note text.
EXH2000.018,Exhibition title text.,Traveling,Litchfield Historical Society,Algeria,A:R1:U1:Shelf 10,,2/23/2000,789,,,Curatorial note text.,,,Working group title,Working group note text.,,Rosemarie Langager,Web developer,,Mary Smith,Phoebe A. Hearst Museum of Anthropology,,,3/18/2000,4/18/2000,Gallery rotation note text.,,,Exhibition reference note text.,,Exhibition section location text.,,Exhibition section remarks text.,Preliminary object list created,,,Object number text.,Object name text.,6/18/2000,needed,needed,Section text.,Case text.,Sequence number text.,Rotation text.,Note text.
EXH2000.019,Exhibition title text.,Permanent,Miami-Dade County Department of Cultural Affairs,South Africa,,1/24/2000,2/24/2000,123,https://lyrasis.org,Planning note text.,Curatorial note text.,General note text.,Boilerplate text text.,,,Art Gallery of Ontario,,Curator,Fitzwilliam Museum,Patricia Johnson,"University of California, Berkeley",,Gallery rotation name text.,3/19/2000,4/19/2000,Gallery rotation note text.,Book 19,Review,Exhibition reference note text.,Exhibition section name text.,Exhibition section location text.,Exhibition section object text.,Exhibition section remarks text.,,5/19/2000,Exhibition status remarks text.,,Object name text.,6/19/2000,,needed,Section text.,Case text.,Sequence number text.,Rotation text.,Note text.
EXH2000.020,Exhibition title text.,Temporary,Oakland Museum of California,China,A:R2:U1:Shelf 10,1/25/2000,2/25/2000,456,https://collectionspace.org,Planning note text.,Curatorial note text.,General note text.,Boilerplate text text.,Working group title,Working group note text.,Metropolitan Museum of Art,,Preparator,,Linda Williams,Walker Art Center,,Gallery rotation name text.,3/20/2000,4/20/2000,,Book 20,News article,,Exhibition section name text.,Exhibition section location text.,Exhibition section object text.,,Labels written,5/20/2000,Exhibition status remarks text.,Object number text.,,6/20/2000,needed,needed,Section text.,Case text.,,Rotation text.,Note text.
EXH2000.022,,,,,,,,,,,,,,Working group title,Working group note text.,,,Publicist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
